Release 11.1 - par L.33 (lin)
Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

Fri Apr  9 15:26:36 2010


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       leon3mp.ncd
OUTPUT FILE:      leon3mp_pad.txt
PART TYPE:        xc3s1600e
SPEED GRADE:      -4
PACKAGE:          fg320

Pinout by Pin Number:

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name                 |Direction    |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|A1        |           |         |GND                      |             |           |              |          |         |           |         |       |          |           |                |
|A2        |           |         |TDI                      |             |           |              |          |         |           |         |       |          |           |                |
|A3        |           |IBUF     |IP                       |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|A4        |           |DIFFM    |IO_L24P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|A5        |           |DIFFMI   |IP_L22P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|A6        |           |DIFFS    |IO_L20N_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|A7        |led(5)     |IOB      |IO                       |OUTPUT       |LVTTL      |0             |8         |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|A8        |errorn     |IOB      |IO                       |TRISTATE     |LVTTL      |0             |8         |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|A9        |           |         |VCCO_0                   |             |           |0             |          |         |           |         |3.30   |          |           |                |
|A10       |           |DIFFS    |IO_L12N_0/GCLK7          |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|A11       |           |IOB      |IO                       |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|A12       |           |DIFFM    |IO                       |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
|A13       |           |DIFFM    |IO_L05P_0                |UNUSED       |           |0             |          |         |           |         |       |          |           |                |
